Nation,Flag Description,Roundel Description,Fin Flash,Taxonomy,Notes,Image File
Brazil,Green field with yellow diamond and blue globe+stars,Green outer - yellow middle - blue center with stars,Green-yellow,Radial: Standard + Punch: Symbol,Diamond shape abstracted; blue globe punched to center,Roundel_of_Brazil.svg.png
Canada,Red-white-red vertical tricolor with maple leaf,Blue outer - white middle - red maple leaf center,Red-white,Non-Sequitur: Template inheritance,Abandoned flag colors (blue not in flag!); British roundel base + maple leaf punch,Roundel_of_Canada.svg.png
CAR (Central African Republic),Blue-white-green-yellow horizontal with red vertical stripe + star,Blue outer - white - green - yellow center,Blue-white-green-yellow,Radial: Standard,Horizontal stripes become rings; red vertical stripe notably absent,Roundel_of_the_Central_African_Republic.svg.png
Chile,White-red horizontal with blue canton and star,Blue outer - white middle - red center,Blue-white-red,Radial: Standard + Punch: Geometric,Canton colors used; star sometimes present in center variant,Roundel_of_Chile.svg.png
China,Red field with large yellow star + 4 small stars,Red outer - yellow star center,Red-yellow,Punch: Geometric,Large star extracted; field becomes outer ring. Small stars dropped,Roundel_of_China.svg.png
Colombia,Yellow-blue-red horizontal tricolor,Yellow outer - blue middle - red center,Yellow-blue-red,Radial: Standard,Direct stripe-to-ring translation; bottom stripe (red) = center,Roundel_of_Colombia.svg.png
Croatia,Red-white-blue horizontal tricolor with coat of arms,Blue outer - white middle - red center + coat of arms,Blue-white-red,Radial: Standard + Punch: Symbol,Stripes become rings; coat of arms sometimes retained in center,Roundel_of_Croatia.svg.png
Czech Republic,White-red horizontal with blue triangle at hoist,Blue triangle (radial wedge) + white upper - red lower,Blue-white-red,Punch: Geometric,Unique: hoist triangle becomes radial wedge pointing to center; NOT concentric rings,Roundel_of_the_Czech_Republic.svg.png
Denmark,Red field with white Nordic cross,Red outer - white cross (radial) center,Red-white,Radial: Cross radial,Cross extracted and rendered radially; field becomes outer ring,Roundel_of_Denmark.svg.png
Djibouti,Blue-green horizontal with white triangle and red star at hoist,Blue - green divided + red star center,Blue-green-red,Radial: Hoist element preserved + Punch: Geometric,Triangle and star from hoist migrate to center,Roundel_of_Djibouti.svg.png
Ecuador,Yellow-blue-red horizontal tricolor with coat of arms,Yellow outer - blue middle - red center,Yellow-blue-red,Radial: Standard,Direct translation; coat of arms dropped,Roundel_of_Ecuador.svg.png
Egypt,Red-white-black horizontal tricolor with Eagle of Saladin,Red outer - white middle - black center + eagle,Red-white-black,Radial: Standard + Punch: Symbol,Eagle of Saladin punched to center; stripes become rings,Roundel_of_Egypt.svg.png
El Salvador,Blue-white-blue horizontal tricolor with coat of arms,Blue outer - white middle - blue center,Blue-white,Radial: Standard,Simple 3-ring; coat of arms dropped; outer and center both blue (unusual),Roundel_of_El_Salvador.svg.png
Eritrea,Green-blue triangle with red triangle + olive wreath and branch,Green - blue - red radial segments,Green-blue-red,Radial: Segmented,Triangle geometry of flag translated to radial segments,Roundel_of_Eritrea.svg.png
Estonia,Blue-black-white horizontal tricolor,Blue outer - black middle - white center,Blue-black-white,Radial: Standard,Direct stripe-to-ring; unusual black ring is distinctive,Roundel_of_Estonia.svg.png
France,Blue-white-red vertical tricolor,Red outer - white middle - blue center,None (roundel is sufficient),Radial: Inverted,"Origin roundel — fly stripe (red) = outer, hoist (blue) = center. NOTE: red is outer, not blue",Roundel_of_France.svg.png
Gabon,Green-yellow-blue horizontal tricolor,Green outer - yellow middle - blue center,Green-yellow-blue,Radial: Standard,Direct bottom-to-top stripe translation to outer-to-center rings,Roundel_of_Gabon.svg.png
Georgia,White field with large red cross + 4 small red crosses,Red cross on white (radial),Red-white,Radial: Cross radial,Cross extracted; small crosses dropped,Roundel_of_Georgia.svg.png
Germany,Black-red-gold horizontal tricolor (modern),Black Iron Cross (Balkenkreuz) on white — NOT a roundel,Black-white,Non-Sequitur: Abandonment,Flag not used at all; Iron Cross is pre-existing military symbol. Proves roundels aren't mandatory,Roundel_of_Germany_–_Type_1_–_Border.svg.png
Ghana,Red-gold-green horizontal tricolor with black star,Red outer - gold middle - green center + black star,Red-gold-green,Radial: Standard + Punch: Geometric,Pan-African colors become rings; black star punched to center,Roundel_of_Ghana.svg.png
Greece,Blue-white stripes with white cross in blue canton,Blue outer - white middle - blue center + white cross,Blue-white,Radial: Standard + Punch: Symbol,Striped flag simplified; cross from canton punched to center,Roundel_of_Greece.svg.png
Guinea,Red-yellow-green vertical tricolor,Red outer - yellow middle - green center,Red-yellow-green,Radial: Standard,Vertical stripes rotate to concentric rings; mirror image of Mali,Roundel_of_Guinea.svg.png
Hungary,Red-white-green horizontal tricolor,Red outer - white middle - green center,Red-white-green,Radial: Standard,Direct stripe translation; bottom (green) = center,Roundel_of_Hungary.svg.png
India,Saffron-white-green horizontal tricolor with blue Ashoka Chakra,Orange outer - white middle - green center + blue Chakra,Orange-white-green,Radial: Standard + Punch: Geometric,Stripes become rings; Chakra punched to center white band area,Roundel_of_India.svg.png
Indonesia,Red-white horizontal bicolor,Red outer - white center,Red-white,Radial: Standard,Perfect 2-color translation; identical to Monaco and Poland (design collapse risk),Roundel_of_Indonesia.svg.png
Iran,Green-white-red horizontal tricolor with emblem + Allah script,Green outer - white middle - red center,Green-white-red,Radial: Standard,Script and emblem dropped; clean 3-ring translation,Roundel_of_Iran.svg.png
Iraq,Red-white-black horizontal tricolor with green text,Red outer - white middle - black center,Red-white-black,Radial: Standard,Text dropped; same color order as Syrian/Egyptian/similar pan-Arab flags (design collapse issue),Roundel_of_Iraq.svg.png
Ireland,Green-white-orange vertical tricolor,Green outer - white middle - orange center,None,Radial: Standard,"Vertical stripes rotate to rings; hoist (green) = outer, fly (orange) = center",Roundel_of_Ireland.svg.png
Israel,White field with blue stripes and Star of David,Blue outer - white middle - blue Star of David center,Blue-white,Radial: Standard + Punch: Geometric,Stripes imply outer/inner blue; Star punched to center,Roundel_of_Israel.svg.png
Italy,Green-white-red vertical tricolor,Green outer - white middle - red center,Green-white-red,Radial: Standard,Direct vertical-stripe rotation; hoist (green) = outer,Roundel_of_Italy.svg.png
Jamaica,Gold-black diagonal cross (saltire) with green triangles,Black outer - gold - green center,Black-gold-green,Non-Sequitur: Shape collapse,Diagonal saltire structure rotated; unusual non-horizontal/vertical translation,Roundel_of_Jamaica.svg.png
Japan,White field with red disc (Hinomaru),Red disc on white (two-ring: white outer ring + red center),None,Punch: Geometric,Purest Punch method — disc extracted directly. White field becomes thin border ring. Simplest possible translation,Roundel_of_Japan.svg.png
Jordan,Black-white-green horizontal tricolor with red triangle + white star,Red outer - white - black - green - white star center,Red-white-black-green,Radial: Hoist element preserved + Punch: Geometric,Complex; triangle from hoist and star migrate to center,Roundel_of_Jordan.svg.png
Kazakhstan,Light blue field with yellow sun and eagle + vertical ornament,Light blue outer - yellow sun/eagle center,Light blue-yellow,Punch: Symbol,Sun and eagle extracted; light blue field becomes outer ring,Roundel_of_Kazakhstan.svg.png
Kenya,Black-red-green horizontal tricolor with Maasai shield,Black outer - red middle - green center + Maasai shield,Black-red-green,Radial: Standard + Punch: Symbol,Stripes become rings; shield punched to center,Roundel_of_Kenya.svg.png
Kuwait,Green-white-red horizontal tricolor with black trapezoid at hoist,Green outer - white middle - red center + black element,Green-white-red-black,Radial: Standard + Punch: Geometric,Trapezoid from hoist abstracted to center element,Roundel_of_Kuwait.svg.png
Kyrgyzstan,Red field with yellow sun containing tunduk (yurt crown),Red outer - yellow tunduk/sun center,Red-yellow,Punch: Symbol,Circular tunduk symbol extracted; field becomes outer ring,Roundel_of_Kyrgyzstan.svg.png
Laos,Red-blue-red horizontal tricolor with white disc,Red outer - blue middle - white disc center,Red-blue-white,Radial: Standard + Punch: Geometric,Stripes become rings; white disc punched to center,Roundel_of_Laos.svg.png
Latvia,Dark red-white-dark red horizontal tricolor,Dark red outer - white middle - dark red center,Carmine-white,Radial: Standard,"Distinctive dark carmine (not standard red); outer and center same color — unusual, creates bull's-eye effect",Roundel_of_Latvia.svg.png
Lebanon,Red-white-red horizontal tricolor with green cedar tree,Red outer - white middle - green cedar center,Red-white-green,Radial: Standard + Punch: Symbol,Stripes become rings; cedar punched to center (green not in flag stripes — new color introduced!),Roundel_of_Lebanon.svg.png
Libya,Red-black-green horizontal tricolor with white crescent+star,Red outer - black middle - green center + white crescent+star,Red-black-green,Radial: Standard + Punch: Geometric,Pan-Arab colors become rings; crescent/star punched to center,Roundel_of_Libya.svg.png
Lithuania,Yellow-green-red horizontal tricolor,Yellow outer - green middle - red center,Yellow-green-red,Radial: Standard,Direct stripe translation; bottom (red) = center,Roundel_of_Lithuania.svg.png
Luxembourg,Red-white-light blue horizontal tricolor,Red outer - white middle - light blue center,Red-white-blue,Radial: Standard,Nearly identical to Netherlands roundel — design collapse with Netherlands,Roundel_of_Luxembourg.svg.png
Madagascar,White-red vertical bicolor with small white horizontal stripe,Red outer - white center,Red-white,Radial: Standard,Simplified from complex tricolor; 2-color result,Roundel_of_Madagascar.svg.png
Malawi,Black-red-green horizontal tricolor with rising sun,Black outer - red middle - green center + rising sun,Black-red-green,Radial: Standard + Punch: Symbol,Pan-African colors; rising sun punched to center,Roundel_of_Malawi.svg.png
Malaysia,Red-white stripes with blue canton containing crescent+star,Red outer - yellow crescent+star center,Red-yellow,Punch: Geometric,Complex stripes abandoned; crescent and star from canton punched to center,Roundel_of_Malaysia.svg.png
Mali,Green-yellow-red vertical tricolor,Green outer - yellow middle - red center,None confirmed,Radial: Standard,"Vertical stripes rotate; DESIGN COLLAPSE with Guinea (same colors, same method, same result)",Roundel_of_Mali_–_Type_2.svg.png
Malta,White-red vertical bicolor with George Cross in canton,Red outer - white center + George Cross,Red-white,Radial: Standard + Punch: Symbol,Bicolor rotates; George Cross punched to center white area,Roundel_of_Malta.svg.png
Mauritania,Green field with yellow crescent+star + red stripes (post-2017),Green outer - yellow crescent+star center,Green-yellow,Punch: Geometric,Crescent and star extracted; field becomes outer ring,Roundel_of_Mauritania.svg.png
Mauritius,Red-blue-yellow-green horizontal quad-color,Red outer - blue - yellow - green center,Red-blue-yellow-green,Radial: Standard,Rare 4-color concentric ring; all four stripe colors preserved,Roundel_of_Mauritius.svg.png
Mexico,Green-white-red vertical tricolor with coat of arms (eagle+serpent),Green outer - white middle - red center + eagle/serpent,Green-white-red,Radial: Standard + Punch: Symbol,Vertical stripes rotate; coat of arms eagle punched to center,Roundel_of_Mexico.svg.png
Moldova,Blue-yellow-red vertical tricolor with coat of arms,Blue outer - yellow middle - red center + coat of arms,Blue-yellow-red,Radial: Standard + Punch: Symbol,Vertical stripes rotate; coat of arms sometimes included,Roundel_of_Moldova.svg.png
Montenegro,Red field with golden border and coat of arms,Red outer - golden eagle coat of arms center,Red-gold,Punch: Symbol,Eagle from coat of arms extracted; red field becomes outer ring,Roundel_of_Montenegro.svg.png
Morocco,Red field with green pentagram (Solomon's Seal),Red outer - green star center,Red-green,Punch: Geometric,Green star extracted from red field; clean two-color punch,Roundel_of_Morocco.svg.png
Mozambique,Black-white-green-white-yellow-white-red horizontal multicolor with AK-47+book+hoe emblem,Green outer - black - yellow - red center + emblem,Green-black-yellow-red,Radial: Standard + Punch: Symbol,Complex flag somewhat simplified; emblem retained in center,Roundel_of_Mozambique.svg.png
Myanmar,Yellow-green-red horizontal tricolor with white star,Yellow outer - green middle - red center + white star,Yellow-green-red,Radial: Standard + Punch: Geometric,Stripes become rings; white star punched to center,Roundel_of_Myanmar.svg.png
Nepal,Double-pennant flag (non-rectangular),Blue outer ring - crimson center + white sun/moon,Blue-crimson,Non-Sequitur: Forced redesign,Nepal's non-rectangular flag cannot be translated; circular format forces complete redesign. White sun/moon from flag punched to center,Roundel_of_Nepal.svg.png
Netherlands,Red-white-blue horizontal tricolor (top to bottom),Blue-red-white trisected radial segments + orange center dot,None confirmed,Radial: Segmented + Non-Sequitur: New element,NOT concentric rings. Flag trisected into 3 equal radial wedges meeting at orange center dot. Orange is NOT in the flag — it references House of Orange. Unique method deserving its own category,Roundel_of_the_Netherlands.svg.png
New Zealand,Blue Ensign with Union Jack and red stars (Southern Cross),Blue outer - white middle - red kiwi center,Blue-white-red,Non-Sequitur: Template inheritance,Same base as Australia; kiwi substituted for kangaroo,Roundel_of_New_Zealand.svg.png
Nicaragua,Blue-white-blue horizontal tricolor with coat of arms,Blue outer - white middle - blue center + rainbow/triangle,Blue-white,Radial: Standard + Punch: Symbol,Outer and center same blue (like El Salvador); coat of arms simplified,Roundel_of_Nicaragua_(1990–1995).svg.png
Niger,Orange-white-green horizontal tricolor with orange disc,Orange outer - white middle - green center + orange disc,Orange-white-green,Radial: Standard + Punch: Geometric,Stripes become rings; central disc punched (same color as outer ring),Roundel_of_Niger.svg.png
Nigeria,Green-white-green vertical bicolor,Green outer - white middle - green center,None confirmed,Radial: Standard,Vertical stripes rotate; outer and center both green — same issue as Latvia. Two-color result looks like a target,Roundel_of_Nigeria.svg.png
North Korea,Blue-red-blue horizontal tricolor with white borders and red star,Red outer - blue - white - red center + white star,Red-blue-white,Radial: Standard + Punch: Geometric,Complex stripe arrangement preserved in rings; star punched to center,Roundel_of_North_Korea.svg.png
North Macedonia,Red field with golden sun (Vergina Sun / modern sun),Red outer - golden sun rays (radial) center,Red-gold,Punch: Geometric,Sun extracted; rays rendered radially. Clean and distinctive,Roundel_of_North_Macedonia.svg.png
Norway,Red field with blue+white Nordic cross,Red outer - white - blue - white - red center (cross-based),Red-white-blue,Radial: Cross radial,Cross geometry extracted and rendered radially through rings,Roundel_of_Norway.svg.png
Pakistan,Green field with white stripe at hoist + white crescent+star,Green outer - white crescent+star center,Green-white,Punch: Geometric,White crescent and star extracted; green field becomes outer ring. White hoist stripe dropped,Roundel_of_Pakistan.svg.png
Panama,White-red-blue quartered field with blue and red stars,Blue outer - white - red - blue center + stars,Blue-white-red,Radial: Standard + Punch: Geometric,Quartered geometry abstracted to rings; stars retained,Roundel_of_Panama.svg.png
Papua New Guinea,Black-red diagonal bicolor with yellow Bird of Paradise and Southern Cross stars,Black outer - red middle - yellow Bird of Paradise center,Black-red-yellow,Radial: Standard + Punch: Symbol,Diagonal split abstracted; Bird of Paradise punched to center,Roundel_of_Papua_New_Guinea.svg.png
Paraguay,Red-white-blue horizontal tricolor with coat of arms (obverse/reverse differ),Red outer - white middle - blue center + lion/treasury seal,Red-white-blue,Radial: Standard + Punch: Symbol,Stripes become rings; Paraguay is only flag with different obverse/reverse — roundel uses one side,Roundel_of_Paraguay.svg.png
Peru,Red-white-red vertical tricolor,Red outer - white middle - red center,Red-white,Radial: Standard,Outer and center both red — same color 'sandwich' effect. Distinctive but unusual,Roundel_of_Peru.svg.png
Philippines,Blue-red horizontal bicolor with white triangle at hoist containing sun+stars,Blue outer - red middle - white triangle (radial) + sun center,Blue-red-white,Radial: Hoist element preserved + Punch: Geometric,Triangle from hoist becomes radial wedge (like Czech Republic); sun punched to center,Roundel_of_the_Philippines.svg.png
Poland,White-red horizontal bicolor,Red outer - white center,None confirmed,Radial: Standard,Same 2-color result as Indonesia and Monaco — design collapse concern,Roundel_of_Poland.svg.png
Portugal,Green-red vertical bicolor (2:3 ratio) with complex coat of arms,Green outer - red middle - coat of arms center,Green-red,Radial: Standard + Punch: Symbol,Vertical bicolor rotates; coat of arms punched to center,Roundel_of_Portugal.svg.png
Qatar,White-maroon serrated bicolor with 9 serrations,Maroon outer - white center,Maroon-white,Radial: Standard,Complex serrated edge simplified to clean bicolor; distinctive maroon color is unique identifier,Roundel_of_Qatar.svg.png
Romania,Blue-yellow-red vertical tricolor,Blue outer - yellow middle - red center,Blue-yellow-red,Radial: Standard,Vertical stripes rotate; identical color order to Chad (design collapse — Chad has same flag),Roundel_of_Romania.svg.png
Russia,White-blue-red horizontal tricolor,Red outer - blue middle - white center,Red-blue-white,Radial: Inverted,Bottom stripe (red) = outer; top stripe (white) = center. Color order REVERSED from flag reading top-to-bottom,Roundel_of_Russia.svg.png
Rwanda,Blue-yellow-green horizontal tricolor with yellow sun,Blue outer - yellow middle - green center + sun,Blue-yellow-green,Radial: Standard + Punch: Symbol,Stripes become rings; sun punched to center,Roundel_of_Rwanda.svg.png
Saudi Arabia,Green field with white Arabic text (Shahada) and sword,Green outer - white sword+text center,Green-white,Punch: Symbol,Text and sword extracted; green field becomes outer ring. Text in roundel is unusual,Roundel_of_Saudi_Arabia.svg.png
Senegal,Green-yellow-red vertical tricolor with green star,Green outer - yellow middle - red center + green star,Green-yellow-red,Radial: Standard + Punch: Geometric,Vertical stripes rotate; green star punched to red center (same color as outer — subtle),Roundel_of_Senegal.svg.png
Serbia,Red-blue-white horizontal tricolor with coat of arms,Red outer - blue middle - white center + coat of arms,Red-blue-white,Radial: Standard + Punch: Symbol,Stripes become rings; coat of arms punched to center,Roundel_of_Serbia.svg.png
Seychelles,5-color sunburst (blue-yellow-red-white-green radiating from hoist),5-color radial segments from center,None confirmed,Radial: Segmented,"Flag is already radial/sunburst — roundel preserves this geometry perfectly. Pre-adapted flag, like France",Roundel_of_Seychelles.svg.png
Sierra Leone,Green-white-blue horizontal tricolor,Green outer - white middle - blue center,Green-white-blue,Radial: Standard,Direct stripe translation; bottom (blue) = center,Roundel_of_Sierra_Leone.svg.png
Slovenia,Blue-white-red horizontal tricolor with coat of arms in canton,Blue outer - white middle - red center + coat of arms,Blue-white-red,Radial: Standard + Punch: Symbol,Stripes become rings; coat of arms punched to center,Roundel_of_Slovenia.svg.png
Somalia,Light blue field with white star,Light blue outer - white star center,None confirmed,Punch: Geometric,White star extracted; field becomes outer ring. Clean and simple,Roundel_of_Somalia.svg.png
South Africa,Complex 6-color horizontal design with Y-shaped green band,Green outer - black - gold - red - white - blue center,Green-black-gold,Radial: Standard,Post-apartheid flag's complex Y-shape abstracted to concentric rings; remarkable that it works at all,Roundel_of_South_Africa.svg.png
South Korea,White field with red-blue Taeguk and black trigrams,White outer + red-blue Taeguk center + flanking black trigrams (fin flash),White-red-blue-black,Punch: Symbol,Taeguk (yin-yang) extracted; circular symbol is self-contained. Trigrams become fin flash elements,Roundel_of_South_Korea.svg.png
South Sudan,Black-red-green-white horizontal with blue triangle+gold star at hoist,Blue outer - white - red - black - green center + gold star,Blue-white-red-black-green,Radial: Hoist element preserved + Punch: Geometric,Triangle from hoist becomes radial; star punched to center; complex but surprisingly readable,Roundel_of_South_Sudan.svg.png
Spain,Red-yellow-red horizontal tricolor with coat of arms,Red outer - yellow middle - red center + coat of arms,Red-yellow,Radial: Standard + Punch: Symbol,Outer and center both red (like Peru/Latvia); coat of arms punched to center,Roundel_of_Spain.svg.png
Sri Lanka,Yellow border - maroon field with gold lion holding sword + green+orange stripes,Maroon outer - yellow - maroon - gold lion center,Maroon-yellow,Radial: Standard + Punch: Symbol,Lion extracted from complex flag; surrounding colors abstracted,Roundel_of_Sri_Lanka.svg.png
Sudan,Red-white-black horizontal with green triangle at hoist,Red outer - white middle - black center + green radial,Red-white-black-green,Radial: Standard + Punch: Geometric,Stripes become rings; hoist triangle's green color migrates to center,Roundel_of_Sudan.svg.png
Suriname,Green-white-red-white-green horizontal with yellow star,Green outer - white - red - white - green center + yellow star,Green-white-red,Radial: Standard + Punch: Geometric,5-stripe flag becomes 5-ring design; yellow star punched to center,Roundel_of_Suriname.svg.png
Sweden,Blue field with yellow Nordic cross,Blue outer - yellow cross (radial) center,Blue-yellow,Radial: Cross radial,Cross extracted and rendered radially; distinctive 2-color design,Roundel_of_Sweden.svg.png
Switzerland,Red field with white cross,Red outer - white cross center,Red-white,Punch: Geometric,Swiss cross extracted; field becomes outer ring. One of the cleanest Punch translations,Roundel_of_Switzerland.svg.png
Syria (current),Red-white-black horizontal with 2 green stars,Red outer - white middle - black center + 2 green stars,Red-white-black,Radial: Standard + Punch: Geometric,Pan-Arab stripes become rings; stars punched to center,"Roundel_of_Syria_(1948–1958,_1961–1963,_2025–present).svg.png"
Thailand,Red-white-blue-white-red horizontal (5 stripes),Red outer - white - blue - white - red center,Red-white-blue,Radial: Standard,5-stripe flag becomes 5-ring roundel; outer and center both red (like Latvia/Peru/Spain),Roundel_of_Thailand.svg.png
Togo,Green-yellow alternating stripes (5) with red canton+white star,Green outer - yellow - red - white star center,Green-yellow-red,Radial: Standard + Punch: Geometric,Alternating stripes become rings; star punched to center,Roundel_of_Togo.svg.png
Trinidad and Tobago,Red field with black+white diagonal stripe,Red outer - white - black - white - red center,Red-white-black,Radial: Standard,Diagonal stripe abstracted to concentric rings; outer and center both red,Roundel_of_Trinidad_and_Tobago.svg.png
Tunisia,Red field with white disc containing red crescent+star,Red outer - white disc - red crescent+star center,Red-white,Radial: Standard + Punch: Geometric,White disc and crescent/star punched to center of red field; 3-zone result,Roundel_of_Tunisia.svg.png
Turkey,Red field with white crescent+star,Red outer - white crescent+star center,Red-white,Punch: Geometric,Crescent and star extracted from red field; near-identical result to Pakistan (green/white vs red/white),Roundel_of_Turkey.svg.png
Turkmenistan,Green field with complex vertical stripe of carpet patterns + crescent+stars,Green outer - crescent+stars center + carpet pattern elements,Green-white,Punch: Symbol,Complex carpet pattern simplified; crescent/stars extracted to center,Roundel_of_Turkmenistan_(variant).svg.png
Uganda,Black-yellow-red horizontal tricolor (repeated ×2) with grey crowned crane disc,Black outer - yellow - red center + grey crowned crane,Black-yellow-red,Radial: Standard + Punch: Symbol,Repeating 6-stripe flag simplified to 3-ring; crane punched to center,Roundel_of_Uganda_-_Type_1.svg.png
Ukraine,Blue-yellow horizontal bicolor,Blue outer - yellow center,Blue-yellow,Radial: Standard,Perfect 2-color translation; sky over wheat fields becomes concentric circles,Roundel_of_Ukraine.svg.png
United Arab Emirates,Green-white-black horizontal with red vertical stripe at hoist,Green outer - white - black - red center,Green-white-black-red,Radial: Standard,4-color design; red vertical stripe at hoist becomes innermost center ring,Roundel_of_the_United_Arab_Emirates.svg.png
United Kingdom,Union Jack (complex overlay of 3 crosses),Blue outer - white middle - red center,Red-white-blue,Non-Sequitur: Abandonment,Flag too complex to translate; British solution was to REVERSE French cocarde colors. Most influential roundel — became template for Commonwealth nations,Roundel_of_the_United_Kingdom.svg.png
USA,13 red/white stripes with blue canton containing 50 stars,Blue outer - white star center (with red+white bars extending horizontally),Blue-white-red,Punch: Geometric,Single star punched from canton; bars added horizontally for shape recognition (WWII evolution). Star-and-bars is not a traditional roundel — it broke the circle to add bars,Roundel_of_the_USAF.svg.png
Zambia,Green field with orange eagle + red-black-orange vertical stripes at fly,Green outer - orange eagle center + red-black-orange inner stripes,Green-orange-red-black,Radial: Standard + Punch: Symbol,Eagle extracted; flag's unusual fly-edge stripe arrangement partially preserved in inner rings,Roundel_of_Zambia.svg.png
Zimbabwe,Green-yellow-red-black-red-yellow-green horizontal with white triangle+red star+Zimbabwe bird,Green outer - yellow - red - black - red - yellow - green center + Zimbabwe bird,Green-yellow-red-black,Radial: Standard + Punch: Symbol,7-stripe flag creates 7-ring design; Zimbabwe bird punched to center. Most complex concentric ring in database,Roundel_of_Zimbabwe.svg.png
